weapon_type,firearm_caliber,weapon_description,trr_report_id
Other (Specify),,,2220588
Hands/Fists,,,2221328
Hands/Fists,,,2221461
Hands/Fists,,,2221461
Hands/Fists,,,2221744
Hands/Fists,,,2221744
Hands/Fists,,,2221744
Firearm - Semi-Automatic,,,2235223
Hands/Fists,,,2235869
Hands/Fists,,,2237016
Hands/Fists,,,2237017
Knife/Other Cutting Instrument,,,2237914
Hands/Fists,,,2238278
Hands/Fists,,,2238278
Hands/Fists,,,2238278
Hands/Fists,,,2238368
Hands/Fists,,,2238378
Feet,,,2238378
Hands/Fists,,,2238378
Hands/Fists,,,2238378
Hands/Fists,,,2238681
Knife/Other Cutting Instrument,,,2239683
Hands/Fists,,,2256845
Feet,,,2256845
Feet,,,2258262
Hands/Fists,,,2258262
Hands/Fists,,,2258262
Feet,,,2258456
Hands/Fists,,,2258456
Other (Specify),,,2258456
Firearm - Semi-Automatic,,,2259989
Hands/Fists,,,2260446
Hands/Fists,,,2275044
Hands/Fists,,,2277446
Knife/Other Cutting Instrument,,,2278030
Hands/Fists,,,2278030
Hands/Fists,,,2278030
Firearm - Semi-Automatic,,,2278319
Firearm - Semi-Automatic,,,2278321
Hands/Fists,,,2282047
Hands/Fists,,,2282047
Hands/Fists,,,2282047
Hands/Fists,,,2282047
Other (Specify),,LIGHTER,2288644
Hands/Fists,,,2292843
Hands/Fists,,,2292843
Hands/Fists,,,2292843
Other (Specify),,,2292843
Hands/Fists,,,2294240
Feet,,,2294240
Firearm - Semi-Automatic,,,2306600
"Mouth (Spit,Bite,Etc)",,,2306600
Hands/Fists,,,2306600
Hands/Fists,,,2306600
Firearm - Semi-Automatic,,,2306770
Firearm - Semi-Automatic,,,2307633
Feet,,,2316959
"Mouth (Spit,Bite,Etc)",,,2317663
Other (Specify),,GLASS BOTTLE,2336460
Hands/Fists,,,2339482
Hands/Fists,,,2339482
Hands/Fists,,,2339573
Hands/Fists,,,2339754
Firearm - Revolver,,,2353501
Firearm - Semi-Automatic,,,2354700
Firearm - Semi-Automatic,,,2355087
Hands/Fists,,,2371504
Hands/Fists,,,2371542
Hands/Fists,,,2371542
Hands/Fists,,,2371562
Hands/Fists,,,2371562
Hands/Fists,,,2371562
Hands/Fists,,,2371673
"Mouth (Spit,Bite,Etc)",,,2371786
Hands/Fists,,,2372486
Hands/Fists,,,2383435
Hands/Fists,,,2393874
Hands/Fists,,,2393874
Hands/Fists,,,2393874
Hands/Fists,,,2394976
Hands/Fists,,,2394976
Hands/Fists,,,2395320
Hands/Fists,,,2395320
Hands/Fists,,,2400478
Hands/Fists,,,2400478
Hands/Fists,,,2400478
Hands/Fists,,,2400478
Hands/Fists,,,2401157
Feet,,,2413526
Hands/Fists,,,2413526
Feet,,,2413738
"Mouth (Spit,Bite,Etc)",,,2430806
Knife/Other Cutting Instrument,,,2432020
Vehicle,,,2445849
Hands/Fists,,,2448374
Feet,,,2449059
Hands/Fists,,,2449059
Hands/Fists,,,2449302
Hands/Fists,,,2449341
Hands/Fists,,,2449341
Hands/Fists,,,2449341
"Mouth (Spit,Bite,Etc)",,,2460570
Other (Specify),,,2460570
Other (Specify),,2 BLACK REPLICA FIREARMS,2463197
Other (Specify),,TWO REPLICA BB GUNS,2463351
Other (Specify),,BOTTLE,2479434
Feet,,,2479755
"Mouth (Spit,Bite,Etc)",,,2479755
Hands/Fists,,,2479755
Feet,,,2481500
"Mouth (Spit,Bite,Etc)",,,2481500
Feet,,,2482110
"Mouth (Spit,Bite,Etc)",,,2482110
Hands/Fists,,,2482408
Hands/Fists,,,2482408
Other (Specify),,,2482408
Firearm - Revolver,,,2492082
Firearm - Revolver,,,2492116
Firearm - Revolver,,,2492372
Feet,,,2495489
"Mouth (Spit,Bite,Etc)",,,2495694
Hands/Fists,,,2505050
Hands/Fists,,,2506159
Hands/Fists,,,2506159
Hands/Fists,,,2506159
Firearm - Revolver,,,2506268
Hands/Fists,,,2506268
Hands/Fists,,,2506268
Other (Specify),,,2506268
Feet,,,2506278
Firearm - Revolver,,,2506543
Hands/Fists,,,2510571
Firearm - Revolver,,,2511386
Feet,,,2514209
Hands/Fists,,,2514209
Feet,,,2515740
Hands/Fists,,,2530386
Hands/Fists,,,2530386
Hands/Fists,,,2530779
Hands/Fists,,,2530779
Knife/Other Cutting Instrument,,,2531593
Knife/Other Cutting Instrument,,,2531653
Knife/Other Cutting Instrument,,,2531829
Knife/Other Cutting Instrument,,,2531849
Knife/Other Cutting Instrument,,,2531860
Knife/Other Cutting Instrument,,,2531907
Hands/Fists,,,2531924
Other (Specify),,,2531952
Knife/Other Cutting Instrument,,,2543368
Hands/Fists,,,2558028
Hands/Fists,,,2561181
Hands/Fists,,,2561181
Hands/Fists,,,2561609
Hands/Fists,,,2562692
Hands/Fists,,,2562692
Firearm - Semi-Automatic,,,2600900
Firearm - Semi-Automatic,,,2602763
Hands/Fists,,,2603613
Firearm - Semi-Automatic,,,2605220
Feet,,,2607183
"Mouth (Spit,Bite,Etc)",,,2611472
Hands/Fists,,,2611472
Hands/Fists,,,2611472
Hands/Fists,,,2611472
Hands/Fists,,,2611472
"Mouth (Spit,Bite,Etc)",,,2628844
"Mouth (Spit,Bite,Etc)",,,2628943
Hands/Fists,,,2628943
Hands/Fists,,,2628982
Hands/Fists,,,2628994
Hands/Fists,,,2629243
Hands/Fists,,,2629243
Firearm - Semi-Automatic,,,2629363
Hands/Fists,,,2629428
Hands/Fists,,,2629428
Hands/Fists,,,2629824
Hands/Fists,,,2629824
Hands/Fists,,,2637312
Hands/Fists,,,2640507
Hands/Fists,,,2644390
"Mouth (Spit,Bite,Etc)",,,2659885
Hands/Fists,,,2661237
Hands/Fists,,,2661897
Hands/Fists,,,2661897
Hands/Fists,,,2661995
Hands/Fists,,,2661995
Hands/Fists,,,2674402
Hands/Fists,,,2674402
Hands/Fists,,,2674402
Hands/Fists,,,2674402
Hands/Fists,,,2674749
Hands/Fists,,,2674749
Hands/Fists,,,2674749
Hands/Fists,,,2674749
Hands/Fists,,,2675191
Hands/Fists,,,2675191
Hands/Fists,,,2675191
Hands/Fists,,,2675191
Firearm - Semi-Automatic,,,2675326
Hands/Fists,,,2675358
Hands/Fists,,,2675358
Hands/Fists,,,2675358
Hands/Fists,,,2675358
Firearm - Semi-Automatic,,,2676289
Hands/Fists,,,2676571
Feet,,,2676571
Hands/Fists,,,2676571
Hands/Fists,,,2676571
Hands/Fists,,,2676571
Feet,,,2676705
Hands/Fists,,,2676705
Firearm - Semi-Automatic,,,2689307
Hands/Fists,,,2689314
Firearm - Semi-Automatic,,,2690245
Hands/Fists,,,2691408
Feet,,,2692301
Feet,,,2692346
Hands/Fists,,,2692346
Hands/Fists,,,2692346
Hands/Fists,,,2692380
Feet,,,2692398
Hands/Fists,,,2697543
Feet,,,2697543
Hands/Fists,,,2697543
Feet,,,2698090
"Mouth (Spit,Bite,Etc)",,,2701115
Hands/Fists,,,2701416
Hands/Fists,,,2702176
Hands/Fists,,,2702591
Hands/Fists,,,2702591
"Mouth (Spit,Bite,Etc)",,,2702591
Feet,,,2702714
"Mouth (Spit,Bite,Etc)",,,2702936
Hands/Fists,,,2702936
Hands/Fists,,,2702936
Feet,,,2703083
"Mouth (Spit,Bite,Etc)",,,2703483
Hands/Fists,,,2711989
Hands/Fists,,,2711989
Firearm - Semi-Automatic,,,2717337
Hands/Fists,,,2718324
Hands/Fists,,,2718404
"Mouth (Spit,Bite,Etc)",,,2725549
Vehicle,,,2736721
Vehicle,,,2736847
Vehicle,,,2737838
Vehicle,,,2737907
Hands/Fists,,,2754164
Hands/Fists,,,2754164
"Mouth (Spit,Bite,Etc)",,,2758187
Hands/Fists,,,2765513
Feet,,,2765513
Hands/Fists,,,2765513
Hands/Fists,,,2766227
Hands/Fists,,,2766227
Feet,,,2766227
Hands/Fists,,,2772161
Hands/Fists,,,2772218
Hands/Fists,,,2784678
"Mouth (Spit,Bite,Etc)",,,2789139
Other (Specify),,,2798855
Feet,,,2804485
Feet,,,2804994
Knife/Other Cutting Instrument,,,2806336
Firearm - Semi-Automatic,,,2806754
Hands/Fists,,,2811487
Hands/Fists,,,2811487
Hands/Fists,,,2811797
Hands/Fists,,,2811797
"Mouth (Spit,Bite,Etc)",,,2812723
Hands/Fists,,,2812723
Hands/Fists,,,2812723
Feet,,,2814887
Feet,,,2815647
Hands/Fists,,,2815647
Hands/Fists,,,2816737
Hands/Fists,,,2816849
Hands/Fists,,,2816916
Hands/Fists,,,2816916
Hands/Fists,,,2816916
Feet,,,2818670
"Mouth (Spit,Bite,Etc)",,,2818670
Feet,,,2818798
"Mouth (Spit,Bite,Etc)",,,2818798
Firearm - Semi-Automatic,,,2819845
Firearm - Semi-Automatic,,,2820661
Firearm - Semi-Automatic,,,2820663
Firearm - Semi-Automatic,,,2821123
Firearm - Semi-Automatic,,,2821128
Chemical Weapon,,,2831172
Other (Specify),,PORCELAIN FLOWER POT,2831175
Other (Specify),,PORCELIAN FLOWER POT,2831176
Chemical Weapon,,,2831282
Chemical Weapon,,,2831287
Other (Specify),,FLOWER POT,2831548
Hands/Fists,,,2847865
Hands/Fists,,,2847865
Hands/Fists,,,2849050
Hands/Fists,,,2849050
Feet,,,2866190
"Mouth (Spit,Bite,Etc)",,,2866190
"Mouth (Spit,Bite,Etc)",,,2866382
Other (Specify),,,2866382
Firearm - Semi-Automatic,,,2876550
Hands/Fists,,,2878686
Hands/Fists,,,2879631
"Mouth (Spit,Bite,Etc)",,,2879751
Taser / Stun Gun,,,2880523
Feet,,,2880523
Taser / Stun Gun,,,2880668
Feet,,,2880668
Hands/Fists,,,2880668
Taser / Stun Gun,,,2881005
Taser / Stun Gun,,,2881141
Feet,,,2881141
Hands/Fists,,,2881141
Hands/Fists,,,2893996
Feet,,,2893996
Hands/Fists,,,2893996
Other (Specify),,,2893997
"Mouth (Spit,Bite,Etc)",,,2894446
Hands/Fists,,,2894457
"Mouth (Spit,Bite,Etc)",,,2894627
Hands/Fists,,,2894688
Hands/Fists,,,2895574
Hands/Fists,,,2895574
Hands/Fists,,,2895574
Feet,,,2895574
Hands/Fists,,,2895802
Firearm - Revolver,,,2896254
Firearm - Revolver,,,2896455
Firearm - Revolver,,,2896497
Hands/Fists,,,2896497
Hands/Fists,,,2896497
Hands/Fists,,,2896497
Firearm - Semi-Automatic,,,2899967
Hands/Fists,,,2899967
Hands/Fists,,,2908375
Hands/Fists,,,2908440
Vehicle,,,2909945
Hands/Fists,,,2915410
Hands/Fists,,,2915410
Feet,,,2915410
Hands/Fists,,,2916300
Hands/Fists,,,2916300
Hands/Fists,,,2918128
Hands/Fists,,,2918128
Other (Specify),,,2918128
Hands/Fists,,,2919315
Hands/Fists,,,2919387
Hands/Fists,,,2919554
Hands/Fists,,,2919554
Hands/Fists,,,2919554
Hands/Fists,,,2919554
Hands/Fists,,,2919557
Hands/Fists,,,2919557
Hands/Fists,,,2919557
Hands/Fists,,,2919557
Hands/Fists,,,2919672
Hands/Fists,,,2919672
Hands/Fists,,,2919738
Feet,,,2920089
Hands/Fists,,,2920089
Hands/Fists,,,2920097
Feet,,,2920097
Hands/Fists,,,2920097
Hands/Fists,,,2920097
Hands/Fists,,,2920306
Hands/Fists,,,2920306
Feet,,,2920343
Hands/Fists,,,2927529
Hands/Fists,,,2927529
Feet,,,2968940
Hands/Fists,,,2968940
Hands/Fists,,,2968940
Hands/Fists,,,2973155
Feet,,,2973406
Hands/Fists,,,2973495
Other (Specify),,,2973753
Feet,,,2973753
"Mouth (Spit,Bite,Etc)",,,2975561
"Mouth (Spit,Bite,Etc)",,,2987533
"Mouth (Spit,Bite,Etc)",,,2991805
Feet,,,2991805
Hands/Fists,,,3001636
Other (Specify),,,3005090
Hands/Fists,,,3007502
Hands/Fists,,,3007502
Hands/Fists,,,3007502
Hands/Fists,,,3007502
Hands/Fists,,,3007663
Hands/Fists,,,3007663
Hands/Fists,,,3007663
Hands/Fists,,,3007663
Hands/Fists,,,3008080
Hands/Fists,,,3008080
Hands/Fists,,,3008080
Hands/Fists,,,3008080
"Mouth (Spit,Bite,Etc)",,,3012169
Hands/Fists,,,3013809
Hands/Fists,,,3014598
Firearm - Semi-Automatic,,,3014681
Hands/Fists,,,3014695
Hands/Fists,,,3014695
Hands/Fists,,,3016078
Hands/Fists,,,3016078
Other (Specify),,,3017777
Knife/Other Cutting Instrument,,,3020256
Hands/Fists,,,3020256
Hands/Fists,,,3020256
"Mouth (Spit,Bite,Etc)",,,3021226
Other (Specify),,,3021335
Firearm - Semi-Automatic,,,3023453
Hands/Fists,,,3023829
Hands/Fists,,,3023951
Hands/Fists,,,3023951
Hands/Fists,,,3023951
Hands/Fists,,,3023951
Hands/Fists,,,3024511
Hands/Fists,,,3024721
Hands/Fists,,,3024721
Feet,,,3028258
Feet,,,3028556
Hands/Fists,,,3028556
Feet,,,3029121
Hands/Fists,,,3029121
Feet,,,3029947
Hands/Fists,,,3035069
Hands/Fists,,,3035069
Other (Specify),,,3035069
Other (Specify),,,3035336
Hands/Fists,,,3045469
Hands/Fists,,,3045829
Blunt Instrument,,TREE BRANCH,3063339
Knife/Other Cutting Instrument,,,3064416
Knife/Other Cutting Instrument,,,3065010
Firearm - Semi-Automatic,,,3066105
Firearm - Semi-Automatic,,,3066245
Hands/Fists,,,3075497
Other (Specify),,,3075497
Other (Specify),,SCREWDRIVER,3078829
Other (Specify),,SCREWDRIVER,3078830
"Mouth (Spit,Bite,Etc)",,,3082009
Hands/Fists,,,3082634
Hands/Fists,,,3082634
Hands/Fists,,,3082634
Hands/Fists,,,3082634
Hands/Fists,,,3082946
Other (Specify),,WORK BOOTS,3083138
Hands/Fists,,,3083897
"Mouth (Spit,Bite,Etc)",,,3083897
"Mouth (Spit,Bite,Etc)",,,3084479
Other (Specify),,,3084479
"Mouth (Spit,Bite,Etc)",,,3086373
Hands/Fists,,,3088062
Hands/Fists,,,3088062
Hands/Fists,,,3095767
Feet,,,3095767
Hands/Fists,,,3098648
Hands/Fists,,,3098648
Hands/Fists,,,3099448
Vehicle,,,3100486
Vehicle,,,3100919
Firearm - Revolver,,,3102450
Hands/Fists,,,3108668
Hands/Fists,,,3109447
"Mouth (Spit,Bite,Etc)",,,3111987
Other (Specify),,,3111987
Knife/Other Cutting Instrument,,,3121704
Knife/Other Cutting Instrument,,,3121765
Knife/Other Cutting Instrument,,,3121808
Hands/Fists,,,3122506
"Mouth (Spit,Bite,Etc)",,,3124325
"Mouth (Spit,Bite,Etc)",,,3124339
Hands/Fists,,,3124514
Hands/Fists,,,3124581
Hands/Fists,,,3124581
Hands/Fists,,,3124764
Feet,,,3127883
Feet,,,3128189
Hands/Fists,,,3142539
Other (Specify),,,3142539
Firearm - Semi-Automatic,,,3143739
Hands/Fists,,,3146372
Hands/Fists,,,3146949
Hands/Fists,,,3146974
Other (Specify),,,3165103
Other (Specify),,,3165524
Hands/Fists,,,3166671
Hands/Fists,,,3166671
Feet,,,3180602
Knife/Other Cutting Instrument,,,3183505
Hands/Fists,,,3193429
Hands/Fists,,,3193429
Hands/Fists,,,3193429
Hands/Fists,,,3199229
Hands/Fists,,,3199229
Hands/Fists,,,3199229
"Mouth (Spit,Bite,Etc)",,,3209715
Firearm - Semi-Automatic,,,3215483
Firearm - Semi-Automatic,,,3215639
Firearm - Semi-Automatic,,,3221764
Hands/Fists,,,3225720
"Mouth (Spit,Bite,Etc)",,,3227636
Other (Specify),,,3227636
Feet,,,3228316
"Mouth (Spit,Bite,Etc)",,,3228316
Hands/Fists,,,3229035
"Mouth (Spit,Bite,Etc)",,,3230251
"Mouth (Spit,Bite,Etc)",,,3230287
Hands/Fists,,,3235014
Hands/Fists,,,3235014
Hands/Fists,,,3235488
Hands/Fists,,,3235488
Hands/Fists,,,3235663
Hands/Fists,,,3237508
Hands/Fists,,,3245189
Feet,,,3245189
Hands/Fists,,,3249198
Knife/Other Cutting Instrument,,,3255874
Knife/Other Cutting Instrument,,,3255887
Knife/Other Cutting Instrument,,,3256252
Knife/Other Cutting Instrument,,,3256416
Knife/Other Cutting Instrument,,,3256468
Knife/Other Cutting Instrument,,,3257412
Knife/Other Cutting Instrument,,,3257439
Other (Specify),,,3299080
Hands/Fists,,,3301169
Other (Specify),,,3301267
"Mouth (Spit,Bite,Etc)",,,3301670
Hands/Fists,,,3301675
"Mouth (Spit,Bite,Etc)",,,3301993
"Mouth (Spit,Bite,Etc)",,,3302139
Hands/Fists,,,3302466
Hands/Fists,,,3302466
Hands/Fists,,,3302770
Hands/Fists,,,3302770
Hands/Fists,,,3302864
Hands/Fists,,,3302864
Hands/Fists,,,3302872
Hands/Fists,,,3302872
Hands/Fists,,,3309396
Hands/Fists,,,3309396
Feet,,,3309396
"Mouth (Spit,Bite,Etc)",,,3311906
Hands/Fists,,,3314707
Hands/Fists,,,3314707
Feet,,,3314707
"Mouth (Spit,Bite,Etc)",,,3314707
Knife/Other Cutting Instrument,,,3315050
Knife/Other Cutting Instrument,,,3315077
Knife/Other Cutting Instrument,,,3315089
Hands/Fists,,,3317274
Firearm - Semi-Automatic,,,3320807
"Mouth (Spit,Bite,Etc)",,,3322876
Hands/Fists,,,3323243
Hands/Fists,,,3323243
"Mouth (Spit,Bite,Etc)",,,3323931
Hands/Fists,,,3326273
Hands/Fists,,,3326490
Hands/Fists,,,3332165
Hands/Fists,,,3332165
Knife/Other Cutting Instrument,,,3335459
Knife/Other Cutting Instrument,,,3335461
Other (Specify),,SCREWDRIVER,3344648
Firearm - Semi-Automatic,,,3348209
Firearm - Semi-Automatic,,,3349428
Firearm - Semi-Automatic,,,3349429
Hands/Fists,,,3359193
Feet,,,3359830
Hands/Fists,,,3361346
Blunt Instrument,,WOODEN TABLE LEG,3361960
Hands/Fists,,,3363333
Hands/Fists,,,3363394
Feet,,,3364627
Hands/Fists,,,3364627
Feet,,,3364694
Hands/Fists,,,3364750
Hands/Fists,,,3364750
Hands/Fists,,,3364750
Feet,,,3364771
Firearm - Semi-Automatic,,,3368211
Firearm - Revolver,,,3374255
Firearm - Revolver,,,3375177
Hands/Fists,,,3376955
Hands/Fists,,,3376955
Firearm - Semi-Automatic,,,3378329
Hands/Fists,,,3378571
Hands/Fists,,,3378844
Hands/Fists,,,3378844
Hands/Fists,,,3378844
Hands/Fists,,,3390407
Hands/Fists,,,3390407
Feet,,,3390407
Hands/Fists,,,3390407
Hands/Fists,,,3390407
Feet,,,3390834
Hands/Fists,,,3391257
Hands/Fists,,,3391257
Hands/Fists,,,3391257
Feet,,,3391257
Hands/Fists,,,3391257
Firearm - Semi-Automatic,,,3399303
Firearm - Semi-Automatic,,,3399367
Firearm - Semi-Automatic,,,3400369
Firearm - Semi-Automatic,,,3400993
Other (Specify),,HAMMER,3406244
Hands/Fists,,,3406244
Hands/Fists,,,3406244
Hands/Fists,,,3406609
Hands/Fists,,,3406609
Hands/Fists,,,3406687
Hands/Fists,,,3406687
Firearm - Semi-Automatic,,,3407437
Firearm - Semi-Automatic,,,3407942
Hands/Fists,,,3411895
Firearm - Semi-Automatic,,,3412460
Firearm - Semi-Automatic,,,3412816
Hands/Fists,,,3414823
Feet,,,3414823
Firearm - Semi-Automatic,,,3414859
Firearm - Semi-Automatic,,,3415022
Firearm - Semi-Automatic,,,3415065
Firearm - Semi-Automatic,,,3415102
Firearm - Semi-Automatic,,,3415118
Firearm - Semi-Automatic,,,3415481
Hands/Fists,,,3419413
Hands/Fists,,,3423400
Hands/Fists,,,3423466
Hands/Fists,,,3423466
Firearm - Semi-Automatic,,,3423620
Feet,,,3424630
Hands/Fists,,,3424636
Hands/Fists,,,3424636
Hands/Fists,,,3424636
Hands/Fists,,,3424636
Hands/Fists,,,3424678
Hands/Fists,,,3424678
Hands/Fists,,,3424678
Hands/Fists,,,3424678
Hands/Fists,,,3424922
"Mouth (Spit,Bite,Etc)",,,3424962
Hands/Fists,,,3424966
Feet,,,3425188
Hands/Fists,,,3436106
Other (Specify),,REPLICA FIREARM,3437588
Other (Specify),,REPLICA FIREARM,3437679
Firearm - Semi-Automatic,,,3438429
Firearm - Semi-Automatic,,,3438444
Firearm - Semi-Automatic,,,3438520
Firearm - Semi-Automatic,,,3445249
Hands/Fists,,,3450909
Hands/Fists,,,3450909
Hands/Fists,,,3450909
Chemical Weapon,,,3474590
Hands/Fists,,,3474753
Hands/Fists,,,3475132
Blunt Instrument,,BASEBALL BAT,3478202
Hands/Fists,,,3478538
Hands/Fists,,,3478538
Other (Specify),,PAINTBALL GUN,3481952
Hands/Fists,,,3482949
Hands/Fists,,,3482949
Hands/Fists,,,3482949
Hands/Fists,,,3482949
Hands/Fists,,,3482985
Hands/Fists,,,3482985
Hands/Fists,,,3482985
Hands/Fists,,,3482985
Hands/Fists,,,3494006
Hands/Fists,,,3498071
Hands/Fists,,,3498071
Firearm - Semi-Automatic,,,3500373
Firearm - Semi-Automatic,,,3500421
Firearm - Semi-Automatic,,,3504630
Firearm - Semi-Automatic,,,3504632
Hands/Fists,,,3505909
Hands/Fists,,,3505960
Hands/Fists,,,3507021
Hands/Fists,,,3507021
Hands/Fists,,,3507189
Hands/Fists,,,3507189
Hands/Fists,,,3509518
Feet,,,3509518
Hands/Fists,,,3509518
Hands/Fists,,,3509518
Hands/Fists,,,3509518
Hands/Fists,,,3512537
Hands/Fists,,,3512537
Hands/Fists,,,3512537
Hands/Fists,,,3513146
Hands/Fists,,,3513146
Feet,,,3513146
"Mouth (Spit,Bite,Etc)",,,3513146
Hands/Fists,,,3513146
Firearm - Semi-Automatic,,,3524614
Firearm - Semi-Automatic,,,3528667
Hands/Fists,,,3536923
"Mouth (Spit,Bite,Etc)",,,3536923
Hands/Fists,,,3536923
Hands/Fists,,,3536923
"Mouth (Spit,Bite,Etc)",,,3536928
Hands/Fists,,,3536928
Hands/Fists,,,3536928
Hands/Fists,,,3536928
Hands/Fists,,,3551539
Hands/Fists,,,3551539
Feet,,,3551539
Hands/Fists,,,3553212
"Mouth (Spit,Bite,Etc)",,,3560745
Hands/Fists,,,3560969
"Mouth (Spit,Bite,Etc)",,,3560969
Feet,,,3560969
Feet,,,3561044
Feet,,,3561817
"Mouth (Spit,Bite,Etc)",,,3561817
Firearm - Revolver,,,3571196
Firearm - Revolver,,,3571310
Feet,,,3571310
Hands/Fists,,,3572969
Hands/Fists,,,3572969
Other (Specify),,,3572969
Hands/Fists,,,3573743
Hands/Fists,,,3573844
Hands/Fists,,,3573844
Hands/Fists,,,3573844
Hands/Fists,,,3573844
Hands/Fists,,,3574151
Hands/Fists,,,3587249
Hands/Fists,,,3587249
Hands/Fists,,,3587249
Hands/Fists,,,3587249
Hands/Fists,,,3587925
Other (Specify),,HANDCUFF,3588073
Hands/Fists,,,3588256
Hands/Fists,,,3588256
Hands/Fists,,,3588605
Hands/Fists,,,3588605
Firearm - Semi-Automatic,,,3590312
Hands/Fists,,,3590438
Hands/Fists,,,3590557
Feet,,,3590557
Hands/Fists,,,3592315
Hands/Fists,,,3592315
Feet,,,3592315
Firearm - Semi-Automatic,,,3601165
Hands/Fists,,,3601165
Hands/Fists,,,3601165
Hands/Fists,,,3601165
Hands/Fists,,,3609436
Hands/Fists,,,3609436
"Mouth (Spit,Bite,Etc)",,,3620158
Feet,,,3620158
Feet,,,3623062
Hands/Fists,,,3623062
"Mouth (Spit,Bite,Etc)",,,3623062
Hands/Fists,,,3623062
Hands/Fists,,,3623062
Hands/Fists,,,3625355
Hands/Fists,,,3625355
Hands/Fists,,,3625450
Hands/Fists,,,3625450
Hands/Fists,,,3637075
Hands/Fists,,,3637075
Hands/Fists,,,3637349
Hands/Fists,,,3637349
Hands/Fists,,,3638507
Hands/Fists,,,3638507
Hands/Fists,,,3638507
Hands/Fists,,,3639025
Hands/Fists,,,3639025
Firearm - Semi-Automatic,,,3652919
Hands/Fists,,,3667350
"Mouth (Spit,Bite,Etc)",,,3667350
Feet,,,3667350
Hands/Fists,,,3667868
Feet,,,3668501
Hands/Fists,,,3668501
Hands/Fists,,,3668501
Firearm - Semi-Automatic,,,3668701
Firearm - Semi-Automatic,,,3669084
Other (Specify),,,3669118
Feet,,,3669118
Hands/Fists,,,3678256
Hands/Fists,,,3678456
Hands/Fists,,,3682403
Hands/Fists,,,3682403
Firearm - Semi-Automatic,,,3687175
Hands/Fists,,,3687175
Hands/Fists,,,3687175
"Mouth (Spit,Bite,Etc)",,,3687329
Firearm - Semi-Automatic,,,3687640
Other (Specify),,,3687640
Hands/Fists,,,3687717
Hands/Fists,,,3687717
Hands/Fists,,,3687717
Hands/Fists,,,3688502
Hands/Fists,,,3688502
Hands/Fists,,,3688502
Hands/Fists,,,3688502
Other (Specify),,BICYCLE,3691324
Firearm - Semi-Automatic,,,3691378
"Mouth (Spit,Bite,Etc)",,,3691378
Hands/Fists,,,3691378
Hands/Fists,,,3691378
Firearm - Semi-Automatic,,,3691667
Hands/Fists,,,3709855
Hands/Fists,,,3709855
"Mouth (Spit,Bite,Etc)",,,3711039
Hands/Fists,,,3712612
Hands/Fists,,,3712671
Hands/Fists,,,3713176
Hands/Fists,,,3713176
Feet,,,3713435
Knife/Other Cutting Instrument,,,3731275
Hands/Fists,,,3732562
Hands/Fists,,,3732562
Hands/Fists,,,3736112
Hands/Fists,,,3736112
Hands/Fists,,,3736112
Hands/Fists,,,3745264
Hands/Fists,,,3748933
Feet,,,3757708
Hands/Fists,,,3757741
Feet,,,3757741
"Mouth (Spit,Bite,Etc)",,,3757741
Hands/Fists,,,3758280
Hands/Fists,,,3761840
Feet,,,3764388
Hands/Fists,,,3764388
Hands/Fists,,,3764388
Hands/Fists,,,3775100
"Mouth (Spit,Bite,Etc)",,,3779055
Hands/Fists,,,3779243
Hands/Fists,,,3779259
Firearm - Semi-Automatic,,,3782046
Hands/Fists,,,3782944
Hands/Fists,,,3782944
Hands/Fists,,,3782944
Feet,,,3782944
Hands/Fists,,,3782944
Hands/Fists,,,3783491
Hands/Fists,,,3783491
Hands/Fists,,,3783491
Feet,,,3783491
Hands/Fists,,,3783491
Hands/Fists,,,3784199
Hands/Fists,,,3784199
Hands/Fists,,,3784199
Feet,,,3784199
Hands/Fists,,,3784199
Firearm - Semi-Automatic,,,3784862
Firearm - Semi-Automatic,,,3784865
Hands/Fists,,,3785611
Hands/Fists,,,3785611
Hands/Fists,,,3785611
Firearm - Semi-Automatic,,,3785702
Knife/Other Cutting Instrument,,,3786940
Knife/Other Cutting Instrument,,,3787461
Hands/Fists,,,3787781
Hands/Fists,,,3787781
Hands/Fists,,,3787781
Hands/Fists,,,3787818
Hands/Fists,,,3787818
Hands/Fists,,,3787912
Hands/Fists,,,3787912
Hands/Fists,,,3787912
Hands/Fists,,,3789753
Hands/Fists,,,3796599
Hands/Fists,,,3796599
Hands/Fists,,,3796599
Hands/Fists,,,3796599
Hands/Fists,,,3805974
Hands/Fists,,,3824306
Hands/Fists,,,3824306
Feet,,,3837020
"Mouth (Spit,Bite,Etc)",,,3837020
Hands/Fists,,,3837020
Firearm - Semi-Automatic,,,3838430
Other (Specify),,WHEELCHAIR,3840862
Other (Specify),,WHEEL CHAIR,3840922
Hands/Fists,,,3854825
Vehicle,,,3856600
Vehicle,,,3856638
Hands/Fists,,,3864869
Hands/Fists,,,3864869
Hands/Fists,,,3864878
Hands/Fists,,,3864878
Hands/Fists,,,3865089
Hands/Fists,,,3865089
Hands/Fists,,,3865089
Hands/Fists,,,3865089
Hands/Fists,,,3866484
Hands/Fists,,,3866484
Hands/Fists,,,3866484
Hands/Fists,,,3866484
Hands/Fists,,,3879576
Hands/Fists,,,3879784
Hands/Fists,,,3879784
Feet,,,3883494
Hands/Fists,,,3883597
Hands/Fists,,,3883597
Hands/Fists,,,3883597
Hands/Fists,,,3883778
Knife/Other Cutting Instrument,,,3884976
